,,,,,,,,,,,,,,,,,
,3,febrero 2021,Alemania,Oliver - Munchen,,33 - 27,HT,Bayern Munchen,,"1,45","1,12",,22',36 - 37,"20,3%",,✓
,5,febrero 2021,Francia,Dijon - Chalon,,42 - 44,HT,Dijon,,"1,41","1,09",,25',55 - 50,"20,7%",,✓
,7,febrero 2021,Turquía,Anadolu - Besiktas,,33 - 38,16',Anadolu Efes,,"1,46","1,03",,30',67 - 58,"28,6%",,✓
,7,febrero 2021,España,Estudiantes - Madrid,,37 - 35,21',Real Madrid,,"1,42","1,06",,33',58 - 66,"24,3%",,✓
,11,febrero 2021,Israel,M. Tel Aviv - H. Holon,,43 - 59,28',"Maccabi Tel Aviv +13,5HA",,"1,53",,,,87 - 85,"53,0%",,✓
,13,febrero 2021,Inglaterra F,Sevenoaks - Oaklands,,22 - 29,17',Sevenoaks Suns,,"1,74","1,12",,30',43 - 39,"31,6%",,✓
,13,febrero 2021,Italia,Milano - R. Venezia,,8 - 14,5',Milano,,"1,61","1,08",,23',51 - 43,"30,5%",,✓
,14,febrero 2021,Rumanía F,ICIM Arad - Constanta,,31 - 35,18',ICIM Arad,,"1,55","1,07",,25',51 - 42,"29,4%",,✓
,17,febrero 2021,Polonia F,Gorzow - Arka Gdynia,,19 - 16,9',Arka Gdynia,,"1,40","1,04",,23',41 - 51,"24,7%",,✓
,20,febrero 2021,Polonia F,Arka Gdynia - Sleza,,29 - 37,18',Arka Gdynia,,"1,74","1,02",,27',49 - 43,"41,2%",,✓
,26,febrero 2021,Inglaterra,Leicester - Worcester,,37 - 44,19',Leicester,,"1,63","1,11",,30',60 - 55,"28,8%",,✓
,,,,,,,,,,,,,,,,,
,14,noviembre 2021,España,Fuenlabrada - Madrid,,53 - 47,22',Madrid,,"1,46","1,09",,33',85 - 88,"23,2%",,✓
,14,noviembre 2021,España,Barcelona - Valencia,,12 - 17,7',Barcelona,,"1,40","1,11",,18',36 - 33,"18,7%",,✓
,16,noviembre 2021,Ucrania,Kryvbas - Prometey,,16 - 10,9',Prometey,,"1,31","1,05",,20',32 - 36,"18,9%",,✓
,16,noviembre 2021,Ucrania,Kryvbas - Prometey,,25 - 20,13',Prometey,,"1,42","1,02",,21',32 - 39,"27,6%",,✓
,17,noviembre 2021,Finlandia,Helsinki - Kobrat,,31 - 40,14',Helsinki,,"1,54","1,14",,20',40 - 43,"22,8%",,✓
,17,noviembre 2021,Euroliga,Anadolu - Olympiacos,,10 - 16,5',Anadolu,,"1,60","1,35",,9',23 - 22,"11,6%",,✓
,17,noviembre 2021,Euroliga,Anadolu - Olympiacos,,32 - 36,15',Anadolu,,"1,72","1,30",,18',40 - 38,"18,8%",,✓
,21,noviembre 2021,Lituania,Zalgiris - Juventus,,20 - 28,12',Zalgiris,,"1,46","1,15",,25',52 - 51,"18,5%",,✓
,21,noviembre 2021,Italia F,Masnaga - Schio,,40 - 34,21',Schio,,"1,33","1,20",,36',63 - 62,"8,1%",,✓
,24,noviembre 2021,Euroliga F,MBA - Ekaterinburg,,22 - 12,10',Ekaterinburg,,"1,31","1,01",,18',33 - 39,"22,7%",,✓
,30,noviembre 2021,Qatar,Qatar - Al Sadd,,13 - 12,6',Al Saad,,"1,50","1,06",,22',30 - 33,"27,7%",,✓
,30,noviembre 2021,Qatar,Qatar - Al Sadd,,56 - 57,25',Al Saad,,"1,39","1,09",,33',67 - 71,"19,8%",,✓
,3,diciembre 2021,Argentina,Quimsa - Mercedes,,19 - 30,15',Quimsa,,"1,78","1,28",,HT,35 - 37,"21,9%",,✓
,4,diciembre 2021,Rusia F,Kursk - Novosibirsk,,41 - 52,HT,Dynamo Kursk,,"1,58","1,09",,22',50 - 52,"28,5%",,✓
,4,diciembre 2021,Rumanía F,Arad - Constanta,,36 - 41,21',ICIM Arad,,"1,54","1,25",,33',60 - 60,"15,1%",,✓
,4,diciembre 2021,España,Zaragoza - Madrid,,33 - 25,15',Real Madrid,,"1,58","1,07",,26',44 - 51,"30,2%",,✓
,5,diciembre 2021,ABA,Cedevita - Zadar,,39 - 49,21',Cedevita,,"1,83","1,35",,32',60 - 62,"19,4%",,✓
,5,diciembre 2021,Chipre,AEK - Omonia,,18 - 29,10',AEK,,"1,55",,,,65 - 88,-100%,,X
,5,diciembre 2021,Hungría F,Miskolc - Sopron,,29 - 20,17',Sopron,,"1,43","1,12",,26',41 - 41,"19,5%",,✓
,5,diciembre 2021,España,Barcelona - Baskonia,,12 - 22,9',Barcelona,,"1,33",,,,78 - 91,-100%,,X
,11,diciembre 2021,ABA,Krka - Estrella Roja,,35 - 27,HT,Estrella Roja,,"1,66","1,18",,36',62 - 63,"24,4%",,✓
,11,diciembre 2021,Polonia F,Gorzow - Polkowice,,52 - 54,28',Polkowice,,"1,45","1,11",,31',54 - 59,"21,1%",,✓
,12,diciembre 2021,España,Madrid - Málaga,,31 - 37,HT,Real Madrid,,"1,50","1,06",,26',53 - 47,"27,9%",,✓
,12,diciembre 2021,Hungría F,Szekszard - Sopron,,30 - 25,23',Sopron,,"1,41","1,03",,32',46 - 52,"26,2%",,✓
,14,diciembre 2021,ABA,FMP - Split,,37 - 40,15',FMP Belgrado,,"1,47","1,03",,25',61 - 54,"28,6%",,✓
,15,diciembre 2021,Japón,Ryukyu - Kyoto,,32 - 38,22',Ryukyu,,"1,95","1,06",,39',53 - 50,"43,1%",,✓
,15,diciembre 2021,Italia,Virtus - Promitheas,,48 - 51,24',Virtus Bolonia,,"1,37","1,05",,27',60 - 53,"22,2%",,✓
,16,diciembre 2021,Hungría F,Sopron - Gdynia,,19 - 25,18',Sopron,,"1,53","1,03",,25',39 - 32,"31,5%",,✓
,17,diciembre 2021,Portugal,Sporting - Ovarense,,39 - 44,HT,Sporting,,"1,31","1,02",,25',52 - 46,"22,1%",,✓
,19,diciembre 2021,Italia,Virtus - Fortitudo,,43 - 48,26',Virtus Bolonia,,"1,59","1,14",,30',57 - 55,"24,5%",,✓
,20,diciembre 2021,Dinamarca,Bakken - Randers,,51 - 51,19',Bakken Bears,,"1,31","1,01",,30',79 - 68,"22,9%",,✓
,21,diciembre 2021,Portugal,Lusitania - Academica,,44 - 48,HT,Lusitania,,"1,58","1,01",,35',84 - 76,"35,9%",,✓
,22,diciembre 2021,Portugal,Ovarense - Benfica,,43 - 38,HT,Benfica,,"1,53","1,02",,26',54 - 57,"32,7%",,✓
,25,diciembre 2021,Turquía,Anadolu - Gaziantep,,26 - 33,22',Anadolu Efes,,"1,39","1,07",,21',47 - 44,"21,5%",,✓
,26,diciembre 2021,VTB,CSKA - Enisey,,57 - 59,26',CSKA Moscú,,"1,30","1,25",,34',73 - 73,"3,1%",,✓
,26,diciembre 2021,Israel,Maccabi - Hapoel,,25 - 30,12',Maccabi Tel Aviv,,"1,33","1,01",,28',64 - 52,"24,0%",,✓
,27,diciembre 2021,Rumanía,Dinamo - Napoca,,47 - 44,28',Cluj Napoca,,"1,42","1,07",,35',57 - 60,"22,8%",,✓
,28,diciembre 2021,WBBL,Riga - Kibirkstis,,22 - 26,19',TTT Riga,,"1,41","1,01",,23',33 - 28,"28,3%",,✓
,28,diciembre 2021,Ucrania,Dnipro - Prometey,,26 - 18,9',Prometey,,"1,66","1,05",,14',35 - 39,"34,9%",,✓
,29,diciembre 2021,Alemania,Ludwigsburg - Giessen,,40 - 48,17',Ludwigsburg,,"1,55","1,08",,33',78 - 73,"28,5%",,✓
,30,diciembre 2021,Corea F,Woori - Hana,,12 - 25,10',Woori,,"1,55",,,,70 - 73,-100%,,X
,2,enero 2022,Rep Checa,Brno - Olomoucko,,19 - 25,11',Brno,,"1,37","1,07",,16',33 - 27,"20,4%",,✓
,5,enero 2022,Eslovenia,Krka - Podcetrtek,,4 - 11,5',Krka,,"1,58","1,12",,15',33 - 31,"26,0%",,✓
,9,enero 2022,Italia,Milano - Tortona,,4 - 16,10',Olimpia Milano,,"1,50","1,10",,HT,32 - 31,"24,4%",,✓
,15,enero 2022,ABA,Centar - Partizan,,45 - 41,22',Partizan,,"1,36","1,25",,34',72 - 74,"6,5%",,✓
,22,enero 2022,Chipre,Keravnos - Anorthosis,,9 - 20,10',Keravnos,,"1,58","1,15",,26',51 - 51,"23,7%",,✓
,22,enero 2022,Eslovaquia,Piestanske - Banska,,33 - 35,HT,Piestanske,,"1,31","1,02",,28',43 - 37,"21,7%",,✓
,28,enero 2022,Inglaterra,Plymouth - London,,37 - 30,14',London Lions,,"1,37","1,05",,26',62 - 67,"22,2%",,✓
,30,enero 2022,Inglaterra,Leicester - Manchester,,11 - 18,7',Leicester Riders,,"1,53","1,00",,19',40 - 26,"34,5%",,✓
,30,enero 2022,Rumanía,Voluntari - Targu,,20 - 28,10',Voluntari,,"1,38","1,06",,16',40 - 34,"22,1%",,✓
,30,enero 2022,España,Madrid - Andorra,,48 - 53,26',Madrid,,"1,55",,,,83 - 88,"-100,0%",,X
,3,febrero 2022,España F,Canaria - Perfumerías,,27 - 16,13',Perfumerías Avenida,,"1,35","1,03",,23',32 - 40,"23,0%",,✓
,4,febrero 2022,Brasil,Pato - Flamengo,,38 - 32,14',Flamengo,,"1,42","1,20",,20',51 - 52,"12,9%",,✓
,5,febrero 2022,Catar,Ahli - Rayyan,,15 - 18,8',Al Ahli,,"1,50","1,01",,21',50 - 36,"32,7%",,✓
,13,febrero 2022,Portugal F,Benfica - Olivais,,21 - 30,19',Benfica,,"1,33","1,05",,28',42 - 38,"20,1%",,✓
,14,febrero 2022,Macedonia,Skopje - Skopje 2,,34 - 41,18',Skopje,,"1,55","1,08",,20',42 - 43,"27,9%",,✓
,17,febrero 2022,Portugal,Lusitania - Porto,,21 - 18,11',Porto,,"1,41","1,09",,27',31 - 38,"20,7%",,✓
,20,febrero 2022,Italia Cup,Milano - Tortona,,0 - 0,0',Olimpia Milano,,"1,22","1,00",,40',78 - 61,"22,0%",,✓
,20,febrero 2022,BNXT,Belfius - Lieja,,23 - 30,HT,Belfius,,"1,78","1,11",,27',44 - 43,"33,9%",,✓
,20,febrero 2022,Hungría F,Sopron - Miskolc,,34 - 38,HT,Sopron,,"1,34","1,06",,25',45 - 41,"19,7%",,✓
,24,febrero 2022,Euroliga,Zalgiris - Madrid,,28 - 20,15',Real Madrid,,"1,78",,,,68 - 47,"-100,0%",,X
,26,febrero 2022,Bielorrusia,Sdushor - Brest,,41 - 39,22',Brest,,"1,51","1,04",,32',61 - 65,"29,9%",,✓
,6,marzo 2022,España,Madrid - Baskonia,,51 - 53,29',Real Madrid,,"1,48",,,,72 - 80,"-100,0%",,X
,7,marzo 2022,Macedonia,Kumanovo - Pelister,,24 - 16,12',Pelister,,"1,45","1,05",,21',31 - 37,"26,3%",,✓
,7,marzo 2022,Grecia,Ionikos - Panathinaikos,,48 - 41,24',Panathinaikos,,"1,52","1,14",,29',52 - 52,"21,9%",,✓
,8,marzo 2022,Italia F,Ragusa - Broni,,31 - 40,18',Ragusa,,"1,53","1,62",,38',71 - 71,"-3,6%",,✓
,13,marzo 2022,Rumanía F,Satu Mare - Targu,,53 - 54,25',Satu Mare,,"1,54","1,05",,28',64 - 56,"30,5%",,✓
,13,marzo 2022,Italia F,Campobasso - Libertas,,19 - 24,13',Campobasso,,"1,45","1,14",,21',33 - 31,"18,8%",,✓
,17,marzo 2022,Euroliga,Madrid - Lyon,,41 - 42,25',Real Madrid,,"1,39","1,04",,30',54 - 47,"24,2%",,✓
,19,marzo 2022,Euroliga F,Perfumerías - Girona,,17 - 17,13',Perfumerías Avenida,,"1,49","1,12",,17',28 - 22,"22,2%",,✓
,23,marzo 2022,Japón,Kyoto - Ryukyu,,29 - 25,24',Ryukyu,,"1,43","1,08",,19',31 - 38,"22,7%",,✓
,24,marzo 2022,Italia F,Schio - San Martino,,42 - 46,23',Familia Schio,,"1,50","1,03",,31',65 - 57,"30,6%",,✓
,25,marzo 2022,Inglaterra,Leicester - Bristol,,23 - 34,12',Leicester Riders,,"1,47","1,09",,HT,46 - 43,"23,5%",,✓
,26,marzo 2022,Indonesia,Prawira - Dewa,,16 - 17,8',Prawira,,"1,37","1,15",,13',30 - 25,"14,0%",,✓
,26,marzo 2022,WBBL,TTT Riga - RSU Merks,,23 - 36,13',TTT Riga,,"1,43","1,01",,30',69 - 62,"29,0%",,✓
,27,marzo 2022,WBBL,Kibirkstis - TTT Riga,,45 - 45,27',TTT Riga,,"1,38","1,01",,31',49 - 58,"26,5%",,✓
,2,abril 2022,Dinamarca,EBAA - Bakken,,56 - 49,23',Bakken Bears,,"1,86","1,12",,29',69 - 69,"35,6%",,✓
,3,abril 2022,España,Andorra - Barcelona,,23 - 15,10',Barcelona,,"1,50","1,18",,15',25 - 29,"18,1%",,✓
,9,abril 2022,Inglaterra F,Newcastle - Sevenoaks,,25 - 17,11',Sevenoaks Suns,,"1,33","1,04",,24',40 - 46,"21,0%",,✓
,10,abril 2022,Portugal F,Benfica - Vitoria,,23 - 26,26',Benfica,,"1,31","1,01",,37',58 - 51,"22,9%",,✓
,13,abril 2022,España,Bilbao - Madrid,,17 - 13,6',Real Madrid,,"1,45","1,11",,17',35 - 39,"20,9%",,✓
,13,abril 2022,Portugal,Benfica - Oliveirense,,26 - 37,15',Benfica,,"1,56","1,07",,26',54 - 49,"29,4%",,✓
,14,abril 2022,Grecia F,Panathinaikos - Kalliotheas,,17 - 23,14',Panathinaikos,,"1,35","1,03",,23',44 - 39,"23,0%",,✓
,16,abril 2022,Turquía F,Fenerbahce - Botas,,23 - 36,14',Fenerbahce,,"1,55","1,09",,25',53 - 53,"27,2%",,✓
,18,abril 2022,Rep. Checa,Nymburk - Decin,,33 - 45,HT,Nymburk,,"1,55","1,08",,33',70 - 67,"28,1%",,✓
,18,abril 2022,Italia F,Schio - Ragusa,,7 - 16,6',Familia Schio,,"1,50","1,01",,19',41 - 30,"32,7%",,✓
,21,abril 2022,Italia F,Schio - Ragusa,,49 - 50,26',Familia Schio,,"1,53","1,05",,32',53 - 61,"29,7%",,✓
,24,abril 2022,España,Betis - Madrid,,25 - 18,12',Real Madrid,,"1,78","1,15",,28',40 - 45,"30,8%",,✓
,29,abril 2022,Inglaterra,Plymouth - Leicester,,34 - 29,20',Leicester Riders,,"1,47","1,06",,21',36 - 41,"26,3%",,✓
,30,abril 2022,Francia F,Lyon - Hainaut,,29 - 34,19',Union Lyon,,"1,46","1,03",,31',56 - 51,"28,4%",,✓
,1,mayo 2022,Inglaterra F,Sevenoaks - Essex,,21 - 27,15',Sevenoaks Suns,,"1,51","1,03",,34',55 - 49,"30,9%",,✓
,3,mayo 2022,Euroliga,Barcelona - Bayern,,9 - 13,6',Barcelona,,"1,31","1,09",,24',45 - 42,"15,4%",,✓
,3,mayo 2022,Euroliga,Barcelona - Bayern,,31 - 37,HT,Barcelona,,"1,66","1,04",,27',56 - 48,"35,9%",,✓
,6,mayo 2022,Rumanía,Sibiu - Napoca,,40 - 36,HT,Cluj Napoca,,"1,47","1,35",,31',66 - 66,"5,8%",,✓
,9,mayo 2022,Lituania,Neptunas - Zalgiris,,24 - 19,11',Zalgiris Kaunas,,"1,42","1,15",,32',53 - 55,"16,5%",,✓
,11,mayo 2022,Lituania,Zalgiris - Neptunas,,0 - 0,0',Zalgiris Kaunas,,"1,21",,,,89 - 60,"21,0%",,✓
,14,mayo 2022,Portugal,Povoa - Benfica,,39 - 35,22',Benfica,,"1,47","1,03",,26',44 - 52,"28,8%",,✓
,14,mayo 2022,Austria,Vienna - Graz,,55 - 60,27',Vienna,,"1,51","1,09",,36',82 - 80,"25,5%",,✓
,15,mayo 2022,Inglaterra,London - Leicester,,19 - 11,5',Leicester Riders,,"1,53","1,06",,20',47 - 39,"29,0%",,✓
,19,mayo 2022,Turquía,Fenerbahce - Bursaspor,,9 - 19,6',Fenerbahce,,"1,62","1,04",,16',44 - 37,"34,9%",,✓
,29,mayo 2022,Turquía,Anadolu - Galatasaray,,5 - 12,4',Anadolu Efes,,"1,40","1,03",,13',32 - 24,"25,7%",,✓
,30,mayo 2022,Italia,Milano - Sassari,,59 - 63,27',Olimpia Milano,,"1,41","1,11",,31',74 - 71,"19,2%",,✓
,31,mayo 2022,Turquía,Galatasaray - Anadolu,,35 - 31,22',Anadolu Efes,,"1,57","1,08",,30',43 - 49,"28,9%",,✓
,1,junio 2022,Israel,Maccabi - Herzliya,,35 - 45,16',Maccabi Tel Aviv,,"1,76",,,,74 - 96,"-100,0%",,X
,4,junio 2022,Turquía,Anadolu - Galatasaray,,17 - 22,7',Anadolu Efes,,"1,44","1,07",,12',33 - 30,"24,0%",,✓
,5,junio 2022,España,Barcelona - Badalona,,42 - 48,23',Barcelona,,"1,73",,,,81 - 87,"-100,0%",,X
,5,junio 2022,Grecia,Larisa - Panathinaikos,,49 - 45,26',Panathinaikos,,"1,51","1,12",,32',54 - 59,"22,8%",,✓
,6,junio 2022,Alemania,Bayern - Bonn,,44 - 48,19',Bayern Munchen,,"1,49","1,14",,32',54 - 51,"20,6%",,✓
,8,junio 2022,Grecia,Panathinaikos - Larisa,,0 - 0,0',Panathinaikos,,"1,13","1,00",,7',20 - 7,"13,0%",,✓
,11,junio 2022,Turquía,Anadolu - Fenerbahce,,37 - 38,15',Anadolu Efes,,"1,56","1,23",,18',47 - 42,"17,2%",,✓
